source	translation	status	notes
Oracle's Orb is a mysterious and powerful artifact, a large, purple orb with a haunting face suspended within its core. This enigmatic relic is known for storing legendary abilities upon items it enchants.\n\nAdds the following legendary power to an item:	오라클의 오브는 중심부에 섬뜩한 얼굴이 떠 있는 크고 보랏빛인 신비롭고 강력한 유물입니다. 이 수수께끼의 유물은 자신이 마법부여한 아이템에 전설 능력을 저장하는 것으로 알려져 있습니다.\n\n다음 전설 능력을 아이템에 부여합니다:	translated	오라클의 오브 설명
Oracle's Orb is a mysterious and powerful artifact, a large, purple orb with a haunting face suspended within its core. This enigmatic relic is known for storing legendary abilities upon items it enchants.\n\nRight click a legendary item to store its power	오라클의 오브는 중심부에 섬뜩한 얼굴이 떠 있는 크고 보랏빛인 신비롭고 강력한 유물입니다. 이 수수께끼의 유물은 자신이 마법부여한 아이템에 전설 능력을 저장하는 것으로 알려져 있습니다.\n\n전설 아이템을 우클릭하면 그 능력을 저장합니다.	translated	오라클의 오브 설명
This potion has been removed	이 물약은 제거되었습니다	translated	물약 설명
%s\n\nBonus Melee/Bow Damage: %s%s	%s\n\n근접/활 추가 피해: %s%s	translated	능력치 툴팁
%s\n\nCritical melee and bow strike damage bonus: %s%s	%s\n\n근접 및 활 치명타 피해 보너스: %s%s	translated	능력치 툴팁
%s\n\nCritical strike chance: %s%%	%s\n\n치명타 확률: %s%%	translated	능력치 툴팁
%s\n\nCritical strike chance: %s%%(%s%% with dagger)	%s\n\n치명타 확률: %s%% (단검 사용 시 %s%%)	translated	능력치 툴팁
%s\n\nDodge chance: %s%%	%s\n\n회피 확률: %s%%	translated	능력치 툴팁
%s\n\nHealth bonus from Endurance: %s%s\n\nFlat HP bonus from Endurance: %s	%s\n\n지구력으로 얻는 생명력 보너스: %s%s\n\n지구력으로 얻는 고정 생명력 보너스: %s	translated	능력치 툴팁
\n\nDamage is reduced by an amount equal to % shown.\n\nLight resistance is equal to the lowest between Mind and Body resistances.\nDark resistance is equal to the lowest between elemental resistances.\nEnergy resistance is equal to the lowest resistance.	\n\n표시된 % 수치만큼 피해가 감소합니다.\n\n빛 저항은 정신 저항과 육체 저항 중 낮은 값과 같습니다.\n어둠 저항은 원소 저항 중 가장 낮은 값과 같습니다.\n에너지 저항은 모든 저항 중 가장 낮은 값과 같습니다.	translated	저항 툴팁
\n\nMap percentage, Heal/Regen/Leech/Total:	\n\n지도 보정치, 치유/재생/흡수/합계:	translated	통계 UI
\n\nOnly healing done when monsters are in the nearbies is counted	\n\n주변에 몬스터가 있을 때 행한 치유만 집계됩니다	translated	통계 UI
\n\nTotal percentage, Heal/Regen/Leech/Total:	\n\n전체 보정치, 치유/재생/흡수/합계:	translated	통계 UI
%s\n\nBonus healing: %s%s\n\nSpell cost reduction: %s%s\n\nIncrease the mana by 2 levels worth of mana per 5 personality	%s\n\n추가 치유량: %s%s\n\n주문 비용 감소: %s%s\n\n인격 5마다 2레벨 분량의 마나 증가	translated	능력치 툴팁
%s\n\nBonus magic damage: %s%s\n\nCritical spell strike damage: %s%s	%s\n\n추가 마법 피해: %s%s\n\n주문 치명타 피해: %s%s	translated	능력치 툴팁
%s\n\nMap percentage, Melee/Ranged/Total:	%s\n\n지도 보정치, 근접/원거리/합계:	translated	통계 UI
%s\n\nMelee Haste:   %s%%\nRanged Haste: %s%%\nSpell Haste:   %s%%	%s\n\n근접 가속:   %s%%\n원거리 가속: %s%%\n주문 가속:   %s%%	translated	능력치 툴팁
%s\n\nTotal percentage, Melee/Ranged/Total:	%s\n\n전체 보정치, 근접/원거리/합계:	translated	통계 UI
%s\n %s\t %29s\t%32s %s\t%37s %s\t%42s	%s\n %s\t %29s\t%32s %s\t%37s %s\t%42s	translated	레이아웃 포맷 유지
%s\n %s\t %29s\t%32s %s\t%37s %s\t%42s %s\t%47s	%s\n %s\t %29s\t%32s %s\t%37s %s\t%42s %s\t%47s	translated	레이아웃 포맷 유지
%s\n%s	%s\n%s	translated	레이아웃 포맷 유지
Host have closed the game	호스트가 게임을 종료했습니다	translated	멀티플레이 툴팁
